Date,Campaign_Platform,Campaign_Type,Ad_Spend_USD,Clicks,Impressions,Conversions,Revenue_USD,Target_Audience,SEO_Keyword,SEO_Search_Volume,SEO_Difficulty
2024-10-01,Facebook,Performance/ROAS,459.16,1606,43188,14,574.5,Working Professionals,easy goal setting,6769,5.0
2024-04-02,Google Search,App Install,168.26,3259,26026,7,0.0,Students,mobile finance solutions,25767,1.5
2024-04-27,Facebook,App Install,56.64,1432,7600,10,0.0,Students,mobile finance solutions,13353,2.3
2024-12-20,Google Search,Re-engagement,108.55,3873,18241,6,401.75,Gen Z,mobile finance solutions,25692,2.5
2024-09-28,Google Search,Performance/ROAS,179.51,1873,20638,10,677.74,Working Professionals,best budget planning app,42786,2.7
2024-07-19,Google Search,Performance/ROAS,65.09,2688,25646,10,743.65,Gen Z,easy goal setting,34916,2.1
2024-10-02,Google Search,Re-engagement,38.93,2336,9411,5,986.92,Working Professionals,mobile finance solutions,40481,4.0
2024-06-05,Facebook,App Install,170.56,4132,38369,8,0.0,Gen Z,easy goal setting,45010,4.1
2024-02-27,TikTok,Re-engagement,414.13,1009,23952,9,403.39,Millennials,mobile finance solutions,16762,3.8
2024-04-21,Facebook,Re-engagement,195.26,4539,44595,10,967.72,Students,free habit tracker,24949,2.9
2024-10-17,TikTok,Performance/ROAS,378.95,1037,42701,11,525.57,Millennials,free habit tracker,47797,4.6
2024-01-26,Facebook,Re-engagement,214.86,3937,49095,11,145.43,Gen Z,mobile finance solutions,25871,2.5
2024-11-25,Facebook,Performance/ROAS,270.34,4209,31639,12,396.86,Working Professionals,easy goal setting,42387,3.0
2024-03-26,Instagram,Performance/ROAS,466.76,3546,5536,8,420.48,Gen Z,easy goal setting,26351,1.1
2024-11-28,Facebook,Performance/ROAS,404.52,192,23607,12,24.06,Students,best budget planning app,4662,3.2
2024-11-17,Google Search,Performance/ROAS,58.11,3679,786,10,278.15,Working Professionals,top rated productivity app,35628,3.0
2024-03-22,Google Search,Re-engagement,451.28,791,36017,12,125.29,Millennials,top rated productivity app,3027,4.6
2024-01-03,Facebook,Performance/ROAS,19.19,1798,25514,13,275.02,Gen Z,secure investment tracker,35232,1.4
2024-10-09,Google Search,Performance/ROAS,407.94,1040,47928,12,878.17,Students,secure investment tracker,28601,1.5
2024-11-09,Google Search,App Install,69.89,2448,3193,6,0.0,Millennials,free habit tracker,6492,3.4
2024-05-16,Instagram,Re-engagement,478.77,1182,30918,6,238.58,Gen Z,secure investment tracker,37886,3.8
2024-08-01,TikTok,Brand Awareness,177.11,4811,10492,9,632.42,Millennials,easy goal setting,25515,2.1
2024-04-10,Facebook,Performance/ROAS,350.05,3004,20787,9,169.85,Gen Z,easy goal setting,45793,4.9
2024-04-19,Google Search,Re-engagement,118.35,2491,24217,7,852.79,Working Professionals,easy goal setting,10863,3.6
2024-07-29,Facebook,Brand Awareness,116.32,3767,47233,10,655.75,Students,secure investment tracker,34526,2.0
2024-11-02,Google Search,Performance/ROAS,415.98,1704,49676,17,749.43,Gen Z,secure investment tracker,10986,4.4
2024-02-06,TikTok,Re-engagement,365.08,1117,1458,9,774.56,Gen Z,free habit tracker,37647,0.6
2024-04-16,Instagram,App Install,10.43,829,17658,9,0.0,Students,top rated productivity app,8807,3.4
2024-11-24,Google Search,Performance/ROAS,465.55,4690,10473,5,403.82,Millennials,free habit tracker,44090,4.6
2024-07-02,Facebook,App Install,396.58,448,37854,7,0.0,Working Professionals,top rated productivity app,48621,4.9
2024-08-24,Google Search,Performance/ROAS,257.15,4825,23814,12,798.24,Students,mobile finance solutions,38919,2.5
2024-08-28,Facebook,Brand Awareness,145.56,4895,17076,15,1.22,Millennials,easy goal setting,15301,1.0
2024-06-24,Google Search,App Install,377.97,4313,47041,9,0.0,Working Professionals,secure investment tracker,11386,0.9
2024-08-04,Facebook,Performance/ROAS,464.87,1209,23231,8,267.91,Millennials,mobile finance solutions,3619,1.6
2024-10-21,Google Search,Re-engagement,429.25,1606,31301,13,828.12,Students,secure investment tracker,40587,2.6
2024-06-18,Facebook,Performance/ROAS,199.53,1307,47008,6,642.72,Gen Z,easy goal setting,3645,1.6
2024-11-07,TikTok,Re-engagement,40.27,3163,30561,7,230.48,Gen Z,mobile finance solutions,16511,1.6
2024-08-19,Google Search,Performance/ROAS,177.96,3285,28334,14,386.91,Students,secure investment tracker,42720,3.6
2024-04-29,TikTok,App Install,189.74,353,7893,11,0.0,Working Professionals,easy goal setting,6830,4.1
2024-06-04,Facebook,App Install,425.68,4625,8641,11,0.0,Students,easy goal setting,30952,0.6
2024-07-06,Google Search,Performance/ROAS,23.25,4385,22164,10,604.7,Working Professionals,best budget planning app,44469,0.7
2024-11-12,Facebook,Brand Awareness,339.61,184,14410,6,332.81,Millennials,best budget planning app,1447,4.4
2024-09-06,Instagram,Performance/ROAS,115.15,4119,10173,20,119.4,Working Professionals,top rated productivity app,27810,2.3
2024-06-07,Facebook,App Install,81.95,2203,47201,7,0.0,Students,secure investment tracker,9119,2.6
2024-01-25,Instagram,Re-engagement,284.62,4744,28254,15,440.49,Gen Z,best budget planning app,40252,0.9
2024-10-19,Instagram,Performance/ROAS,460.36,397,1634,11,690.85,Millennials,free habit tracker,16277,3.0
2024-06-06,Facebook,Performance/ROAS,119.92,4241,44373,9,27.29,Gen Z,top rated productivity app,8742,3.2
2024-09-21,Google Search,App Install,262.18,3651,21463,8,0.0,Students,easy goal setting,48600,3.5
2024-12-27,Google Search,App Install,472.02,2981,13430,7,0.0,Working Professionals,best budget planning app,48008,4.7
2024-08-04,Facebook,Performance/ROAS,81.98,1237,16868,7,336.77,Students,mobile finance solutions,49653,3.5
2024-01-05,Facebook,App Install,461.72,2511,14210,15,0.0,Millennials,best budget planning app,49293,3.6
2024-05-21,Facebook,Performance/ROAS,24.98,3583,34492,12,498.88,Working Professionals,secure investment tracker,27898,4.9
2024-01-21,TikTok,Re-engagement,285.75,1544,33370,9,633.31,Millennials,secure investment tracker,6762,3.2
2024-03-05,Google Search,App Install,378.82,117,37614,18,0.0,Gen Z,mobile finance solutions,25954,2.4
2024-03-07,Google Search,App Install,103.78,4808,29179,8,0.0,Gen Z,mobile finance solutions,17571,4.3
2024-05-19,Instagram,Performance/ROAS,438.06,3457,33647,6,258.7,Working Professionals,top rated productivity app,22061,0.6
2024-07-14,TikTok,Performance/ROAS,106.32,1384,37279,9,40.64,Gen Z,easy goal setting,36650,1.5
2024-08-12,Instagram,Performance/ROAS,338.14,956,18896,9,760.33,Millennials,easy goal setting,11122,0.5
2024-04-09,Google Search,Performance/ROAS,401.72,2382,33496,11,492.82,Gen Z,secure investment tracker,12671,3.8
2024-04-07,Instagram,Re-engagement,34.05,979,5812,13,758.17,Millennials,easy goal setting,9733,1.9
2024-08-07,TikTok,Performance/ROAS,153.94,4108,45831,9,284.65,Gen Z,best budget planning app,29007,4.0
2024-05-17,Facebook,Performance/ROAS,208.04,3942,40568,11,946.54,Working Professionals,secure investment tracker,9287,3.4
2024-10-21,Google Search,Brand Awareness,92.75,1186,14881,4,59.352000000000004,Working Professionals,mobile finance solutions,14084,2.0
2024-02-01,Facebook,App Install,498.08,777,12287,9,0.0,Millennials,best budget planning app,28497,4.6
2024-10-12,Google Search,Re-engagement,75.09,2698,4844,8,447.2,Working Professionals,mobile finance solutions,6234,2.8
2024-11-18,Instagram,Performance/ROAS,471.38,1107,39267,6,525.15,Millennials,top rated productivity app,33313,1.7
2024-06-01,TikTok,Performance/ROAS,182.7,2818,23093,6,971.26,Millennials,secure investment tracker,10023,3.6
2024-05-21,Facebook,Re-engagement,32.32,2818,9038,10,2.74,Millennials,mobile finance solutions,8084,0.7
2024-11-09,Google Search,Brand Awareness,62.34,900,25632,12,393.78,Millennials,easy goal setting,16445,2.1
2024-10-22,Google Search,Re-engagement,438.81,1467,30502,5,608.46,Millennials,best budget planning app,28109,1.7
