Date,Platform,Campaign_Type,Ad_Spend_USD,Clicks,Impressions,Conversions,Revenue_USD,Target_Audience,SEO_Keyword,SEO_Search_Volume,SEO_Difficulty,CAC_USD,ROAS
2024-10-01,Facebook,Performance/ROAS,459.16,1606,43188,14,574.5,Working Professionals,easy goal setting,6769,5.0,32.79714285714286,1.2511978395330603
2024-04-02,Google Search,App Install,168.26,3259,26026,7,0.0,Students,mobile finance solutions,25767,1.5,24.037142857142857,0.0
2024-04-27,Facebook,App Install,56.64,1432,7600,10,0.0,Students,mobile finance solutions,13353,2.3,5.664,0.0
2024-12-20,Google Search,Re-engagement,108.55,3873,18241,6,401.75,Gen Z,mobile finance solutions,25692,2.5,18.091666666666665,3.701059419622294
2024-09-28,Google Search,Performance/ROAS,179.51,1873,20638,10,677.74,Working Professionals,best budget planning app,42786,2.7,17.951,3.775499972146399
2024-07-19,Google Search,Performance/ROAS,65.09,2688,25646,10,743.65,Gen Z,easy goal setting,34916,2.1,6.509,11.424950069135043
2024-10-02,Google Search,Re-engagement,38.93,2336,9411,5,986.92,Working Professionals,mobile finance solutions,40481,4.0,7.786,25.351143077318262
2024-06-05,Facebook,App Install,170.56,4132,38369,8,0.0,Gen Z,easy goal setting,45010,4.1,21.32,0.0
2024-02-27,TikTok,Re-engagement,414.13,1009,23952,9,403.39,Millennials,mobile finance solutions,16762,3.8,46.01444444444444,0.974066114505107
2024-04-21,Facebook,Re-engagement,195.26,4539,44595,10,967.72,Students,free habit tracker,24949,2.9,19.526,4.956058588548602
2024-10-17,TikTok,Performance/ROAS,378.95,1037,42701,11,525.57,Millennials,free habit tracker,47797,4.6,34.449999999999996,1.3869112020055419
2024-01-26,Facebook,Re-engagement,214.86,3937,49095,11,145.43,Gen Z,mobile finance solutions,25871,2.5,19.532727272727275,0.6768593502745974
2024-11-25,Facebook,Performance/ROAS,270.34,4209,31639,12,396.86,Working Professionals,easy goal setting,42387,3.0,22.528333333333332,1.468003255160169
2024-03-26,Instagram,Performance/ROAS,466.76,3546,5536,8,420.48,Gen Z,easy goal setting,26351,1.1,58.345,0.9008484017482219
2024-11-28,Facebook,Performance/ROAS,404.52,192,23607,12,24.06,Students,best budget planning app,4662,3.2,33.71,0.05947789973301691
2024-11-17,Google Search,Performance/ROAS,58.11,3679,786,10,278.15,Working Professionals,top rated productivity app,35628,3.0,5.811,4.786611598692136
2024-03-22,Google Search,Re-engagement,451.28,791,36017,12,125.29,Millennials,top rated productivity app,3027,4.6,37.60666666666666,0.2776325119659635
2024-01-03,Facebook,Performance/ROAS,19.19,1798,25514,13,275.02,Gen Z,secure investment tracker,35232,1.4,1.4761538461538461,14.331422615945803
2024-10-09,Google Search,Performance/ROAS,407.94,1040,47928,12,878.17,Students,secure investment tracker,28601,1.5,33.995,2.152694023630926
2024-11-09,Google Search,App Install,69.89,2448,3193,6,0.0,Millennials,free habit tracker,6492,3.4,11.648333333333333,0.0
2024-05-16,Instagram,Re-engagement,478.77,1182,30918,6,238.58,Gen Z,secure investment tracker,37886,3.8,79.795,0.4983186080999228
2024-08-01,TikTok,Brand Awareness,177.11,4811,10492,9,632.42,Millennials,easy goal setting,25515,2.1,19.678888888888892,3.5707752244367903
2024-04-10,Facebook,Performance/ROAS,350.05,3004,20787,9,169.85,Gen Z,easy goal setting,45793,4.9,38.894444444444446,0.4852163976574775
2024-04-19,Google Search,Re-engagement,118.35,2491,24217,7,852.79,Working Professionals,easy goal setting,10863,3.6,16.907142857142855,7.205661174482468
2024-07-29,Facebook,Brand Awareness,116.32,3767,47233,10,655.75,Students,secure investment tracker,34526,2.0,11.632,5.637465612104539
2024-11-02,Google Search,Performance/ROAS,415.98,1704,49676,17,749.43,Gen Z,secure investment tracker,10986,4.4,24.46941176470588,1.8016010385114667
2024-02-06,TikTok,Re-engagement,365.08,1117,1458,9,774.56,Gen Z,free habit tracker,37647,0.6,40.56444444444444,2.121617179796209
2024-04-16,Instagram,App Install,10.43,829,17658,9,0.0,Students,top rated productivity app,8807,3.4,1.1588888888888889,0.0
2024-11-24,Google Search,Performance/ROAS,465.55,4690,10473,5,403.82,Millennials,free habit tracker,44090,4.6,93.11,0.8674041456341961
2024-07-02,Facebook,App Install,396.58,448,37854,7,0.0,Working Professionals,top rated productivity app,48621,4.9,56.65428571428571,0.0
2024-08-24,Google Search,Performance/ROAS,257.15,4825,23814,12,798.24,Students,mobile finance solutions,38919,2.5,21.429166666666664,3.104180439432238
2024-08-28,Facebook,Brand Awareness,145.56,4895,17076,15,1.22,Millennials,easy goal setting,15301,1.0,9.704,0.00838142346798571
